# UTF-8 source catalog for Moonshine Japanese presentation.
# Format: English key<TAB>Japanese CP932-rendered text.
# Controller glyphs use {A}, {B}, {X}, {Y}, {L}, {R}, {Z}, {C},
# {AMP}, {SLASH}, {LEFT}, {UP}, {RIGHT}, {DOWN}, and {SHINE}.

# Core navigation, tabs, and shared values.
susamune	Moonshine
TAS deleted from SD. Memory checkpoints were kept.	SD上のTASを削除しました。メモリの中間地点は残っています。
TAS projects	TAS管理
New, edit, replay and save a TAS with its checkpoints.	TASの作成・編集・再生と、中間地点を含む保存ができます。
New TAS	新しいTAS
Continue	編集を続ける
Replay	再生
Save TAS	TASを保存
Open TAS	TASを開く
Checkpoints	中間地点
Beginning	開始地点
Checkpoint 1	中間地点1
Checkpoint 2	中間地点2
Go to Beginning	開始地点に戻る
Save Checkpoint 1	中間地点1を保存
Go to Checkpoint 1	中間地点1に戻る
Save Checkpoint 2	中間地点2を保存
Go to Checkpoint 2	中間地点2に戻る
Name TAS project	TASに名前を付ける
Unsaved TAS	未保存のTAS
Replace this memory state?	このメモリステートを置き換えますか？
Choose a memory state to replace	置き換えるメモリステートを選択
In this TAS	このTASで使用中
This TAS has unsaved edits.	このTASには未保存の編集があります。
Save TAS and stay here	TASを保存してここに戻る
Discard edits and continue	編集を破棄して続ける
Other memory states stay unless you choose to replace one.	置き換えを選ばない限り、他のメモリステートは残ります。
A: open the whole TAS   B: back	A：TASをまとめて開く　B：戻る
A: choose action   B: back. Beginning is kept for Replay.	A：操作を選択　B：戻る。開始地点は再生用に残ります。
Continue stays paused. Hold Mario inputs, then use Step or Resume.	編集再開後も停止します。入力を押してコマ送りか再開を選びます。
New TAS captures your beginning automatically.	新しいTASは開始地点を自動で保存します。
Start a TAS when Mario can move in the level.	レベル内でマリオが動けるときにTASを始めてください。
Checkpoint saved. Continue to edit, or Replay to watch.	中間地点を保存しました。編集を続けるか再生を選んでください。
TAS saved to SD, with its beginning and checkpoints.	開始地点と中間地点を含むTASをSDに保存しました。
TAS is paused here. Continue to edit, or Replay to watch.	この地点で停止しています。編集を続けるか再生を選んでください。
This checkpoint has not been saved yet.	この中間地点はまだ保存されていません。
Choose a TAS project to open.	開くTASを選んでください。
TAS action canceled. Memory states were not changed.	操作を中止しました。メモリステートは変更していません。
Not enough room; existing saved TAS files are safe.	空き容量が足りません。保存済みのTASは残っています。
Use this TAS's game version, episode and settings.	このTASと同じゲーム版・エピソード・設定にしてください。
TAS files need the matching Moonshine launcher.	対応するMoonshineランチャーが必要です。
Release A to begin. Gameplay will stay paused.	Aを離すと準備が完了します。ゲームは停止したままです。
Please wait...	しばらくお待ちください。

# TAS actions and checkpoint shortcuts.
TAS PROJECTS	TAS管理
Beginning was replaced; this TAS cannot be saved.	開始地点が置き換わったため、このTASは保存できません。
Rename TAS project	TASの名前を変更
%lu / %lu frames	%lu / %luコマ
Replace %s?	%sを置き換えますか？
This replaces the checkpoint with your current position.	現在の地点で中間地点を上書きします。
A: replace checkpoint   B: keep it	A：中間地点を置き換える　B：残す
Refresh	一覧を更新
Shortcut: %s   X: change   Z: clear	割当：%s　X：変更　Z：解除
Hold new buttons, then release to save. C-stick cancels.	ボタンを押し、離すと割当を保存します。Cスティックで中止。
TAS changed on SD; open it again.	SD上のTASが変更されました。開き直してください。
TAS could not be opened or saved. Existing SD projects are safe.	TASの読込・保存に失敗しました。SDの既存TASは残っています。
Choose a memory state to replace, or B to cancel.	置き換えるメモリステートを選んでください。Bで中止。
TAS save version limit reached; use a new project.	保存回数の上限です。新しいTASを作ってください。
Finishing TAS save...	TASの保存を完了しています…
Saving TAS and checkpoints. Keep SD connected.	TASと中間地点を保存中です。SDを抜かないでください。
Opening the current TAS checkpoint...	TASの現在の中間地点を読み込み中…
Opening TAS and checkpoints. Keep SD connected.	TASと中間地点を読込中です。SDを抜かないでください。
Previous TAS changed; open the project again.	以前のTASが変更されました。開き直してください。
Checkpoint	中間地点
Continue or open this TAS before saving a checkpoint.	このTASの編集を再開してから中間地点を保存してください。
Replace this TAS checkpoint?	このTASの中間地点を置き換えますか？
Checkpoint kept. Your TAS is paused.	中間地点を残しました。TASは停止しています。
Checkpoint changed; choose Save Checkpoint again.	中間地点が変更されました。保存を選び直してください。
Load one of this TAS's checkpoints first.	先にこのTASの中間地点を読み込んでください。
Open this TAS or load one of its checkpoints first.	先にこのTASを開くか、中間地点を読み込んでください。
Enter a name and use the matching Moonshine launcher.	名前を入力し、対応するMoonshineランチャーを使用してください。
Reading TAS project...	TASを読み込み中…
Finding saved TAS projects...	保存済みのTASを検索中…
Renaming TAS project...	TASの名前を変更中…
Deleting the SD project. Memory checkpoints stay.	SDのTASを削除中です。メモリの中間地点は残ります。
Checkpoint could not be saved. Existing memory states are safe.	中間地点を保存できません。既存のメモリステートは残っています。
Checkpoint saved. Your TAS is paused here.	中間地点を保存しました。TASはこの地点で停止しています。
Checkpoint could not be loaded. Check the episode and settings.	中間地点を読めません。エピソードと設定を確認してください。
TAS checkpoint could not resume. Check its gameplay settings.	TASを再開できません。ゲームプレイの設定を確認してください。
TAS: go to Beginning	TAS：開始地点に戻る
TAS: save Checkpoint 1	TAS：中間地点1を保存
TAS: go to Checkpoint 1	TAS：中間地点1に戻る
TAS: save Checkpoint 2	TAS：中間地点2を保存
TAS: go to Checkpoint 2	TAS：中間地点2に戻る
TAS: continue	TAS：編集を続ける
TAS: replay	TAS：再生
Other area	別エリア
Its recording and checkpoint files will be deleted.	入力記録と中間地点のファイルが削除されます。
TAS recording, Beginning and checkpoints saved to SD.	入力記録・開始地点・中間地点をSDに保存しました。
This checkpoint is in another area. Return there to load it.	中間地点は別のエリアです。そのエリアに戻って読み込んでください。
Return to the area where this TAS begins, then Replay.	TASの開始エリアに戻ってから再生してください。
TAS recording kept. Return to its beginning area to Replay.	入力記録を保持しました。開始エリアに戻ると再生できます。
# TAS editing and replay feedback.
TAS banner	TASバナー
Shows TAS progress below gameplay. Desync warnings stay visible.	TASの進行状況を画面下に表示します。ずれの警告は常に表示します。
Replay warns if game state differs, and continues.	再生中に状態が異なった場合は警告し、そのまま再生を続けます。
TAS desync at frame %lu - playback continues	TASずれ：%luコマ目。再生を継続
Replay stopped: next area or settings differed - take kept	再生停止：次のエリアか設定が違います。入力記録は残っています。
TAS playback finished - desync warning	TAS再生終了：ずれを検出
Playback finished - desync warning	再生終了：ずれを検出
Beginning loaded - Step or Resume to edit	開始地点を読込済み。コマ送りか再開で編集できます。
TAS checkpoint loaded	TASの中間地点を読み込みました。
TAS checkpoint loaded - recording continues	TASの中間地点を読込済み。記録を続けます。
TAS editing resumed - Step or Resume when ready	TAS編集を再開しました。入力を決めてコマ送りか再開を選びます。
Area timing differs - return to a checkpoint to edit	エリア移動のタイミングが違います。中間地点に戻ると編集できます。
Checkpoint unavailable here after desync. Replay can continue.	ずれのため、この地点では中間地点を作れません。再生は続けられます。

# V2.3.1 colour controls and live free camera.
%u deg	%u度
Original: retail colours   Custom: your HSL   Colour edits select Custom	Original: 元の色   Custom: HSL指定   色の編集でCustomに切り替え
Original: shaded tint   Custom: flat colour   HSL works in both	Original: 陰影あり   Custom: 指定色   どちらもHSLで調整
On pauses gameplay. Off restores the game camera without changing pause.	オンでゲームを停止。オフは視点だけを戻し、停止状態は変えません。
Resume runs the game at normal speed and keeps free camera on.	フリーカメラを保ったまま、ゲームを通常速度で再開します。

# Optional camera movement and rotation easing.
Camera smoothing	カメラの補間時間
Ease moving and turning starts/stops. Off responds immediately.	移動と回転の開始・停止を滑らかにします。Offなら即座に反応します。
